Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA,LNC,LPC,Vcmax,fLNR,EM_tree,AM_tree,lnBNF,,,,,,,,,ssss
18,68,19,1.79,-2.659604,969.5851,546,40.27987,11529,224.3773,0.1583333,90.95,2.483333,-5.391667,0.2734,1.02,4.8,56,32,10,24,90,4.5,600,113.588,24.2609,0.213179,2001,0.3504334,0.206,0.01771683,0.2425371,13.49174,18.92252,1.400792,NaN,NaN,0.9750104,0.02503849,0.58221562,,,,,,,,,
19,68,18,2.2,-2.349469,815.6095,685,27.21654,14021,156.4664,0.1333333,89.25,2.183333,-5.233333,0.2734,1.02,4.8,56,32,10,24,90,4.5,600,190.884,16.1142,0.2179199,768,0.5768102,0.179,0.01444595,0.2107759,13.03452,17.69489,1.472717,NaN,NaN,0.9659554,0.03298499,0.78845736,,,,,,,,,
20,65.85,18.34,6.205584,-0.3367811,959.1874,553,39.68752,10263,325.9613,0.2,96.45834,4.85,-4.183333,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,NaN,353.454,46.8102,0.2181431,1020,NaN,NaN,0.02410052,0.3102903,12.36491,9.111236,1.100373,80.5666,24.83173,0.9959643,0.001755057,1.825449532,,,,,,,,,
21,65.55,17.43,1.113333333,-0.8056564,975.2744,632,37.30376,11789,295.1721,0.1916667,96.05,4.608333,-3.858333,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,487.393,73.6297,0.20857,3934,0.5997496,0.329,0.02410052,0.2998628,12.878,15.6749,1.134569,80.08236,23.3697,0.9928958,0.003167263,0.107358518,,,,,,,,,
22,65.5,18,1,0.2868542,953.23,621,39.58513,11188,299.5877,0.225,96.81667,5.641667,-3.658333,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,759.321,100.029,0.2207799,4127,0.6437982,0.409,0.02410052,0.3353165,12.30332,16.09451,0.9746194,80.5666,21.43901,0.9959643,0.001755057,0,,,,,,,,,
23,65.5,18.5,1.772655575,0.3832708,947.9311,596,37.06146,10301,294.9523,0.225,96.74167,5.966667,-3.25,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,725.31,98.2638,0.2132573,3937,0.4792388,0.375,0.02410052,0.3362031,12.13026,14.63807,0.9800829,80.72914,17.00516,0.9959643,0.001755057,0.572478747,,,,,,,,,
24,65,19,3.6,1.353854,921.592,550,35.24847,9317,307.9796,0.25,97.55,6.891667,-2.175,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,629.576,92.4518,NaN,4733,0.4820247,0.42,0.03032723,0.3514417,11.26912,16.16845,1.031115,86.16806,16.91505,0.9973367,0.003547262,1.280933845,,,,,,,,,
25,65,19,0.4,1.353854,921.592,550,35.24847,9317,307.9796,0.25,97.55,6.891667,-2.175,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,629.576,92.4518,NaN,4733,0.4820247,0.42,0.03032723,0.3514417,11.26912,16.16845,1.031115,86.16806,16.91505,0.9973367,0.003547262,-0.916290732,,,,,,,,,
26,65,19,1.75,1.353854,921.592,550,35.24847,9317,307.9796,0.25,97.55,6.891667,-2.175,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,629.576,92.4518,NaN,4733,0.4820247,0.42,0.03032723,0.3514417,11.26912,16.16845,1.031115,86.16806,16.91505,0.9973367,0.003547262,0.559615788,,,,,,,,,
27,65,20,2.511660749,1.655177,881.5473,610,34.19483,10329,330.0426,0.2666667,97.31667,6.85,-1.975,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,875.512,99.8748,NaN,5160,0.6916583,0.443,0.03032723,0.3598899,11.65902,16.57873,0.9260154,66.12952,11.73879,0.9888018,0.007813521,0.920944187,,,,,,,,,
28,65,18.5,1.976303419,1.260281,909.6353,583,37.72569,10689,304.0134,0.25,97.96667,6.775,-2.383333,0.3295,0.91,4.7,50,35,13,24,112.8,6.1,800,619.243,92.7217,0.2259338,5454,0.7376423,0.424,0.02410052,0.3530775,11.07433,15.93653,1.016827,86.16806,16.11216,0.9972373,0.002537183,0.68122814,,,,,,,,,
29,64.5,18.5,5.045273334,1.552458,868.8516,597,37.52906,9901,303.1567,0.25,98.69167,7.016667,-1.933333,0.2995,0.97,4.7,48,38,12,27,96.9,4.9,800,462.901,84.3832,NaN,4987,0.5654637,0.441,0.03117616,0.346497,10.32873,15.935,0.9151383,54.56588,10.32693,0.9972373,0.002537183,1.618451832,,,,,,,,,
30,64.5,18.5,7.606235,1.552458,868.8516,597,37.52906,9901,303.1567,0.25,98.69167,7.016667,-1.933333,0.2995,0.97,4.7,48,38,12,27,96.9,4.9,800,462.901,84.3832,NaN,4987,0.5654637,0.441,0.03117616,0.346497,10.32873,15.935,0.9151383,54.56588,10.32693,0.9972373,0.002537183,2.028968306,,,,,,,,,
31,64.23,19.76667,0.864154608,1.672635,916.4215,613,34.027,10374,322.6117,0.25,98.49167,7.016667,-1.708333,0.3704,0.85,4.5,47,37,14,27,128.8,7,800,534.939,86.9302,NaN,5481,0.7582597,0.486,0.03591468,0.3663366,10.9327,15.54156,0.9364862,56.52773,10.28233,0.9973367,0.003547262,-0.146003582,,,,,,,,,
32,64.23,19.77,0.85,1.672635,916.4215,613,34.027,10374,322.6117,0.25,98.49167,7.016667,-1.708333,0.3704,0.85,4.5,47,37,14,27,128.8,7,800,534.939,86.9302,NaN,5481,0.7582597,0.486,0.03591468,0.3663366,10.9327,15.54156,0.9364862,56.52773,10.28233,0.9973367,0.003547262,-0.162518929,,,,,,,,,
33,64,19,1,2.697771,845.7463,698,30.10361,11118,342.1037,0.25,100.275,7.441667,-1.116667,0.2255,1.13,5.2,52,34,14,23,65.7,3.4,800,468.947,82.5425,NaN,4978,1.453038,0.427,0.03591468,0.3595189,11.03977,15.9189,0.9493694,58.02847,10.5546,0.9860707,0.01664219,0,,,,,,,,,
34,64,19,0.875,2.697771,845.7463,698,30.10361,11118,342.1037,0.25,100.275,7.441667,-1.116667,0.2255,1.13,5.2,52,34,14,23,65.7,3.4,800,468.947,82.5425,NaN,4978,1.453038,0.427,0.03591468,0.3595189,11.03977,15.9189,0.9493694,58.02847,10.5546,0.9860707,0.01664219,-0.133531393,,,,,,,,,
35,64,24,0.865,2.432656,891.1636,547,35.94966,8882,380.8922,0.275,97.475,7.658333,-0.8,0.2429,0.5,4.3,39,39,21,42,339.1,2.8,700,241.575,37.8636,0.1985996,6051,0.907515,0.452,0.04700694,0.3441053,11.23095,16.49841,0.9687022,60.92991,12.07264,0.9993063,0.001200892,-0.145025772,,,,,,,,,
